county_id,state,population,rural_index,pct_college_educated,median_household_income,pct_uninsured,primary_care_per_100k,pct_republican_vote,social_trust_score,prior_flu_vax_rate,covid_death_rate_100k,hesitancy_score,vaccination_rate,high_hesitancy
CTY0484,TX,18351,0.193,0.259,72617,0.156,76.0,0.555,0.529,0.587,192.7,45.92,0.589,0
CTY0485,IN,70961,0.363,0.404,62679,0.12,109.7,0.212,0.468,0.414,216.1,25.6,0.624,0
CTY0486,PA,146308,0.425,0.178,39415,0.194,67.4,0.395,0.457,0.522,150.5,53.79,0.495,0
CTY0487,NC,31718,0.755,0.293,62555,0.133,43.3,0.473,0.73,0.464,196.2,70.27,0.346,0
CTY0488,AL,27793,0.112,0.315,51593,0.067,42.8,0.398,0.492,0.651,158.3,66.11,0.468,0
CTY0489,PA,540996,0.579,0.215,39761,0.133,81.1,0.499,0.43,0.466,239.8,87.27,0.18,1
CTY0490,WV,179016,0.458,0.439,42422,0.02,55.8,0.605,0.771,0.68,244.6,55.67,0.54,0
CTY0491,VA,350262,0.215,0.271,60705,0.161,91.4,0.452,0.9,0.514,164.3,48.64,0.528,0
CTY0492,KY,77014,0.318,0.417,65037,0.094,98.2,0.4,0.439,0.78,198.7,57.63,0.489,0
CTY0493,TN,300428,0.535,0.324,52799,0.077,71.1,0.554,0.453,0.382,207.0,78.71,0.325,1
CTY0494,OH,80419,0.254,0.199,51337,0.186,43.8,0.48,0.71,0.654,175.9,66.82,0.402,0
CTY0495,TN,4710,0.582,0.253,40159,0.192,62.1,0.501,0.342,0.378,175.2,77.47,0.26,1
CTY0496,TN,3287,0.328,0.358,47663,0.077,113.1,0.559,0.294,0.495,269.5,53.51,0.52,0
CTY0497,TX,7212,0.34,0.184,35116,0.095,69.2,0.584,0.409,0.663,202.2,59.08,0.463,0
CTY0498,TX,153913,0.151,0.229,59492,0.096,62.9,0.605,0.63,0.664,173.6,69.66,0.436,0
CTY0499,IL,4590,0.421,0.267,63377,0.031,96.4,0.495,0.658,0.407,133.3,61.27,0.504,0
